"Species","Weight_g","SMR_gd","MMR_gd"
"Cephalopholis argus",42.3,0.0290416775528468,0.268445195447623
"Cephalopholis argus",132.48,0.0271880669407057,0.386495675492361
"Cephalopholis argus",69.17,0.0658039449001899,0.706380277444854
"Cephalopholis argus",77.65,0.0744286626595706,0.274083032291529
"Cephalopholis argus",61.95,0.0712595767911333,0.244864295894639
"Cephalopholis argus",141.66,0.155562408603918,0.540084680242365
"Cephalopholis argus",75.95,0.0762420183695791,0.390560809779755
"Cephalopholis argus",77.6,0.078093724644805,0.368000743470676
"Chaetodon ornatissimus",1.273,0.00668257182786018,0.0147925258838424
"Chaetodon ornatissimus",6.213,0.0129612477599774,0.0388025971213412
"Chaetodon ornatissimus",4,0.0106679756932427,0.0244556811409513
"Chaetodon ornatissimus",4.6,0.0115088113025606,0.027012947343815
"Chaetodon ornatissimus",2.236,0.00469184935263257,0.0110596582680819
"Chaetodon ornatissimus",78.38,0.0500113078745682,0.292664137892575
"Chaetodon ornatissimus",103.7,0.13408054396203,0.321628898307932
"Chromis iomelas",1.811,0.00447299387556168,0.0145194241938916
"Chromis iomelas",1.512,0.00379935448490218,0.00834662733162557
"Chromis iomelas",0.36,0.00107473086422375,0.00321538570935958
"Chromis iomelas",0.839,0.00244063430106735,0.00812699611758616
"Chromis iomelas",2.035,0.00466038913198977,0.0141740401648352
"Chlorurus spirulus",79.5,0.12195451101011,0.443383826633528
"Chlorurus spirulus",203.5,0.00560536341236187,0.925426199728989
"Chlorurus spirulus",218,0.0173012016818616,0.559922234395079
"Chlorurus spirulus",215.5,0.190659340429794,-0.062225699028087
"Ctenochaetus striatus",44.98,0.0627642602830224,0.1536836792298
"Ctenochaetus striatus",119.55,0.174546566896752,0.440375320868251
"Ctenochaetus striatus",151.3,0.193258548108464,0.600694203810521
"Ctenochaetus striatus",57.5,0.0918715271996565,0.292795505124611
"Ctenochaetus striatus",107.97,0.144117556424285,0.487079824214746
"Ctenochaetus striatus",155.29,0.241091582391436,0.463404631787821
"Ctenochaetus striatus",153.85,0.226480959197456,0.503552175828061
"Ctenochaetus striatus",59.84,0.0992699648458389,0.205929877205573
"Ctenochaetus striatus",136.835,0.166419377835547,0.230530874865929
"Ctenochaetus striatus",2.981,0.00904223356136604,0.0192851511954552
"Ctenochaetus striatus",2.644,0.00768091960936422,0.0337800219910504
"Ctenochaetus striatus",22.396,0.0467700714301928,0.218914319763675
"Ctenochaetus striatus",1.776,0.00743785060505936,0.00967886507328687
"Naso lituratus",4.161,0.0121491434304669,0.0514045168536495
"Naso lituratus",4.68,0.0130028404368813,0.0546257075446057
"Naso lituratus",5.409,0.0155982379117531,0.0541444864280264
"Naso lituratus",5.227,0.0136201485703633,0.0580984025378454
"Odonus niger",248.785,0.167940770617188,0.831335329844246
"Odonus niger",16.3,0.0153119208771733,0.106119006249375
"Odonus niger",21.13,0.0215092484475598,0.159972470445691
"Odonus niger",34.741,0.0288359731402027,0.212079004033896
"Odonus niger",36.83,0.0347228712681994,0.255591701968315
"Odonus niger",30.66,0.021782573965958,0.177836912789384
"Odonus niger",206.18,0.140967751836332,0.775692216905389
"Odonus niger",136.38,0.083325868688005,0.475442246921584
"Zebrasoma scopas",78.12,0.0868434446143967,0.134292625877608
"Zebrasoma scopas",67.71,0.0649451884430879,0.170663356609086
"Zebrasoma scopas",57,0.062297882105941,0.203982236742809
"Zebrasoma scopas",60.3,0.0420858747025581,0.157040064044295
"Zebrasoma scopas",92.5,0.112206656788417,0.254406395602079
"Zebrasoma scopas",59.8,0.0694647247883872,0.114566214304715
"Zebrasoma scopas",70.97,0.0646664405158059,0.196970328563991
"Zebrasoma scopas",60.45,0.063457701727713,0.218770065411116
"Zebrasoma scopas",71.93,0.0908068114594602,0.233946907654415
"Zebrasoma scopas",72.18,0.107117992771623,0.189328924774751
"Zebrasoma scopas",83.35,0.111676797022698,0.227911470553508
"Zebrasoma scopas",1.339,0.00422232691984658,0.00554975300972776
"Zebrasoma scopas",77.27,0.085424150650773,0.242848808155729
"Zebrasoma scopas",0.84,0.00399821210467463,0.00857894251921166
"Zebrasoma scopas",0.886,0.00383095047691501,0.0061466668723152
"Zebrasoma scopas",2.721,0.00716116814702045,0.0250365397347376
"Zebrasoma scopas",82.15,0.0704040930043925,0.246383576991361
"Zebrasoma scopas",123.457,0.12455879491621,0.398251311904716
"Zebrasoma scopas",79.31,0.085023987713062,0.259612204099231
"Zebrasoma scopas",5.665,0.0129166662265044,0.0343199769800517
"Zebrasoma scopas",107.12,0.0964929588230529,0.420382393147378
"Zebrasoma scopas",141.92,0.0977741765783424,0.383009702602879
"Zebrasoma scopas",77.29,0.0853617374826122,0.236880096520581
