"Family","Species","species","k_m","k_sd","Qc_m","Qc_sd","Qn_m","Qn_sd","Qp_m","Qp_sd","Dc_m","Dc_sd","Dn_m","Dn_sd","Dp_m","Dp_sd","diet_cat","alpha_m","alpha_sd","f0_m","f0_sd","theta_m","lwa_m","lwb_m","lwa_sd","lwb_sd","r_m","h_m","v_m","linf_m","F0nz_m","F0nz_sd","F0pz_m","F0pz_sd","ac_m","an_m","ap_m"
"Holocentridae","Sargocentron suborbitale","Sargocentron_suborbitale",0.301220822329502,0.0465801937179891,36.4343267610568,0.383054993879647,9.46307656541466,0.114247350872879,4.35557500033471,0.106020332526686,28.1050049943041,2.29450725453984,5.07054728641801,0.705392047824765,0.860741160502697,0.159517564154988,6,0.69574946708983,0.0547290844146517,0.00354293566274347,0.000828088711670082,1.60769830156058,0.01622,2.97,0.00876020408163266,0.086734693877551,1.96697,3.45,24,25.39999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Holocentridae","Sargocentron suborbitale","Sargocentron_suborbitale",0.307652449699238,0.0468413754016024,36.4343267610568,0.383054993879647,9.46307656541466,0.114247350872879,4.35557500033471,0.106020332526686,28.1050049943041,2.29450725453984,5.07054728641801,0.705392047824765,0.860741160502697,0.159517564154988,6,0.69574946708983,0.0547290844146517,0.00382750065166751,0.000828088711670082,1.60769830156058,0.01622,2.97,0.00876020408163266,0.086734693877551,1.96697,3.45,25,25.39999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Holocentridae","Sargocentron suborbitale","Sargocentron_suborbitale",0.314272764585834,0.0474438329402624,36.4343267610568,0.383054993879647,9.46307656541466,0.114247350872879,4.35557500033471,0.106020332526686,28.1050049943041,2.29450725453984,5.07054728641801,0.705392047824765,0.860741160502697,0.159517564154988,6,0.69574946708983,0.0547290844146517,0.00413278645161782,0.000828088711670082,1.60769830156058,0.01622,2.97,0.00876020408163266,0.086734693877551,1.96697,3.45,26,25.39999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Holocentridae","Sargocentron suborbitale","Sargocentron_suborbitale",0.321088142611092,0.0484208053479474,36.4343267610568,0.383054993879647,9.46307656541466,0.114247350872879,4.35557500033471,0.106020332526686,28.1050049943041,2.29450725453984,5.07054728641801,0.705392047824765,0.860741160502697,0.159517564154988,6,0.69574946708983,0.0547290844146517,0.00446014094736455,0.000828088711670082,1.60769830156058,0.01622,2.97,0.00876020408163266,0.086734693877551,1.96697,3.45,27,25.39999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Holocentridae","Sargocentron suborbitale","Sargocentron_suborbitale",0.328105201429877,0.0498001153195968,36.4343267610568,0.383054993879647,9.46307656541466,0.114247350872879,4.35557500033471,0.106020332526686,28.1050049943041,2.29450725453984,5.07054728641801,0.705392047824765,0.860741160502697,0.159517564154988,6,0.69574946708983,0.0547290844146517,0.00481098873722295,0.000828088711670082,1.60769830156058,0.01622,2.97,0.00876020408163266,0.086734693877551,1.96697,3.45,28,25.39999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Holocentridae","Sargocentron suborbitale","Sargocentron_suborbitale",0.335330810781136,0.051603149505029,36.4343267610568,0.383054993879647,9.46307656541466,0.114247350872879,4.35557500033471,0.106020332526686,28.1050049943041,2.29450725453984,5.07054728641801,0.705392047824765,0.860741160502697,0.159517564154988,6,0.69574946708983,0.0547290844146517,0.00518683483277562,0.000828088711670082,1.60769830156058,0.01622,2.97,0.00876020408163266,0.086734693877551,1.96697,3.45,29,25.39999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Clepticus africanus","Clepticus_africanus",0.241028470483011,0.0253658777994037,37.7463727864724,0.405402365418331,10.9103656145281,0.123957147063529,3.76445738029936,0.107544099780907,39.9853740159511,3.55429964332648,7.81344090805192,1.07129352043192,0.925273858000879,0.241081248866302,8,0.795533872892107,0.0326652492240726,0.00156485234076935,0.000146535665759678,2.02715326091193,0.01,3.05,0.00588775510204082,0.0918367346938776,1.41474453017833,3.09413978484369,27,30,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Chlorurus strongylocephalus","Chlorurus_strongylocephalus",0.125606598493479,0.0131154296961051,37.7463727864724,0.405402365418331,10.9103656145281,0.123957147063529,3.76445738029936,0.107544099780907,27.7875749718712,3.14777679911317,4.85463036183304,0.902501838083435,0.629693993769111,0.195253802656414,6,0.795533872892107,0.0326652492240726,0.00156485234076935,0.000146535665759678,2.02715326091193,0.01413,3.04,0.00824489795918367,0.0918367346938776,1.41194,2,27,70,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Chlorurus strongylocephalus","Chlorurus_strongylocephalus",0.128353251724496,0.0135745783219576,37.7463727864724,0.405402365418331,10.9103656145281,0.123957147063529,3.76445738029936,0.107544099780907,27.7875749718712,3.14777679911317,4.85463036183304,0.902501838083435,0.629693993769111,0.195253802656414,6,0.795533872892107,0.0326652492240726,0.00168794822309524,0.000146535665759678,2.02715326091193,0.01413,3.04,0.00824489795918367,0.0918367346938776,1.41194,2,28,70,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Chlorurus strongylocephalus","Chlorurus_strongylocephalus",0.131181218645574,0.0142463187802303,37.7463727864724,0.405402365418331,10.9103656145281,0.123957147063529,3.76445738029936,0.107544099780907,27.7875749718712,3.14777679911317,4.85463036183304,0.902501838083435,0.629693993769111,0.195253802656414,6,0.795533872892107,0.0326652492240726,0.00181981482761189,0.000146535665759678,2.02715326091193,0.01413,3.04,0.00824489795918367,0.0918367346938776,1.41194,2,29,70,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Scarus coeruleus","Scarus_coeruleus",0.0833069523130771,0.0114926171360368,37.7463727864724,0.405402365418331,10.9103656145281,0.123957147063529,3.76445738029936,0.107544099780907,27.8068027703558,3.07740171054192,4.8733485456994,0.879174511320466,0.637465584638753,0.190135780755924,6,0.795533872892107,0.0326652492240726,0.00156485234076935,0.000146535665759678,2.02715326091193,0.01288,3.05,0.00498469387755102,0.0765306122448981,0.966914,2,27,120,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Scarus coeruleus","Scarus_coeruleus",0.0851288331660399,0.0118226346625043,37.7463727864724,0.405402365418331,10.9103656145281,0.123957147063529,3.76445738029936,0.107544099780907,27.8068027703558,3.07740171054192,4.8733485456994,0.879174511320466,0.637465584638753,0.190135780755924,6,0.795533872892107,0.0326652492240726,0.00168794822309524,0.000146535665759678,2.02715326091193,0.01288,3.05,0.00498469387755102,0.0765306122448981,0.966914,2,28,120,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Leptoscarus vaigiensis","Leptoscarus_vaigiensis",0.189548240697248,0.0441064809310476,36.8412276460244,0.521414637803065,10.4885738344102,0.155139397047102,4.2685627001698,0.147447110549806,28.894032130937,4.24133301772864,3.98163075328507,0.822944486350169,0.373911882323427,0.16253374876188,2,0.795533872892107,0.0326652492240726,0.0013428888065964,0.000146535665759678,2.02715326091193,0.00891,3.01,0.00244897959183674,0.0663265306122451,1.130235,2.135,25,35,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Leptoscarus vaigiensis","Leptoscarus_vaigiensis",0.19362825589659,0.0449043118200866,36.8412276460244,0.521414637803065,10.4885738344102,0.155139397047102,4.2685627001698,0.147447110549806,28.894032130937,4.24133301772864,3.98163075328507,0.822944486350169,0.373911882323427,0.16253374876188,2,0.795533872892107,0.0326652492240726,0.00144999914330855,0.000146535665759678,2.02715326091193,0.00891,3.01,0.00244897959183674,0.0663265306122451,1.130235,2.135,26,35,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Leptoscarus vaigiensis","Leptoscarus_vaigiensis",0.197827779397933,0.0458627111963998,36.8412276460244,0.521414637803065,10.4885738344102,0.155139397047102,4.2685627001698,0.147447110549806,28.894032130937,4.24133301772864,3.98163075328507,0.822944486350169,0.373911882323427,0.16253374876188,2,0.795533872892107,0.0326652492240726,0.00156485234076935,0.000146535665759678,2.02715326091193,0.00891,3.01,0.00244897959183674,0.0663265306122451,1.130235,2.135,27,35,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Calotomus carolinus","Calotomus_carolinus",0.149159949585835,0.0308737554591986,37.0049939985679,0.459253602259557,10.5392737767412,0.136518382818216,4.15968103484324,0.132476540909286,28.7091369115281,4.34672043176867,3.90473640477728,0.844494815237306,0.358836241494905,0.166642859692293,2,0.795533872892107,0.0326652492240726,0.0013428888065964,0.000146535665759678,2.02715326091193,0.0123,3.13,0.00380612244897959,0.0714285714285715,1.52403,2,25,54,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Calotomus carolinus","Calotomus_carolinus",0.152369229416282,0.0314000408058782,37.0049939985679,0.459253602259557,10.5392737767412,0.136518382818216,4.15968103484324,0.132476540909286,28.7091369115281,4.34672043176867,3.90473640477728,0.844494815237306,0.358836241494905,0.166642859692293,2,0.795533872892107,0.0326652492240726,0.00144999914330855,0.000146535665759678,2.02715326091193,0.0123,3.13,0.00380612244897959,0.0714285714285715,1.52403,2,26,54,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Calotomus carolinus","Calotomus_carolinus",0.15567250532739,0.0320622017030317,37.0049939985679,0.459253602259557,10.5392737767412,0.136518382818216,4.15968103484324,0.132476540909286,28.7091369115281,4.34672043176867,3.90473640477728,0.844494815237306,0.358836241494905,0.166642859692293,2,0.795533872892107,0.0326652492240726,0.00156485234076935,0.000146535665759678,2.02715326091193,0.0123,3.13,0.00380612244897959,0.0714285714285715,1.52403,2,27,54,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Calotomus carolinus","Calotomus_carolinus",0.15907293848441,0.0328695091715952,37.0049939985679,0.459253602259557,10.5392737767412,0.136518382818216,4.15968103484324,0.132476540909286,28.7091369115281,4.34672043176867,3.90473640477728,0.844494815237306,0.358836241494905,0.166642859692293,2,0.795533872892107,0.0326652492240726,0.00168794822309524,0.000146535665759678,2.02715326091193,0.0123,3.13,0.00380612244897959,0.0714285714285715,1.52403,2,28,54,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Calotomus carolinus","Calotomus_carolinus",0.1625738090802,0.0338304253330925,37.0049939985679,0.459253602259557,10.5392737767412,0.136518382818216,4.15968103484324,0.132476540909286,28.7091369115281,4.34672043176867,3.90473640477728,0.844494815237306,0.358836241494905,0.166642859692293,2,0.795533872892107,0.0326652492240726,0.00181981482761189,0.000146535665759678,2.02715326091193,0.0123,3.13,0.00380612244897959,0.0714285714285715,1.52403,2,29,54,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Calotomus viridescens","Calotomus_viridescens",0.316781889150443,0.0658682663061904,37.0690897251006,0.474734507629383,10.549823155099,0.141296285516464,4.13057168076857,0.138138868953873,29.0113985807017,4.29502669996824,3.98737942232888,0.833582762952898,0.368670279039414,0.164608401038752,2,0.795533872892107,0.0326652492240726,0.00124304842166823,0.000146535665759678,2.02715326091193,0.01995,3.01,0.0122448979591837,0.0918367346938776,1.2983,2,24,21,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Calotomus viridescens","Calotomus_viridescens",0.33763663149492,0.0690351444778902,37.0690897251006,0.474734507629383,10.549823155099,0.141296285516464,4.13057168076857,0.138138868953873,29.0113985807017,4.29502669996824,3.98737942232888,0.833582762952898,0.368670279039414,0.164608401038752,2,0.795533872892107,0.0326652492240726,0.00156485234076935,0.000146535665759678,2.02715326091193,0.01995,3.01,0.0122448979591837,0.0918367346938776,1.2983,2,27,21,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Calotomus spinidens","Calotomus_spinidens",0.271936260678316,0.0493319826190487,37.2467278024798,0.517115128919917,10.6053771092091,0.152447779158942,4.04384126323454,0.150686663707578,28.950091262168,4.243828222268,3.99162069459687,0.823253400053396,0.373939536755057,0.162604894014778,2,0.795533872892107,0.0326652492240726,0.00144999914330855,0.000146535665759678,2.02715326091193,0.01202,3.13,0.00363265306122449,0.0714285714285715,1.11124,2,26,30,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Calotomus spinidens","Calotomus_spinidens",0.283876583589734,0.0515131180991346,37.2467278024798,0.517115128919917,10.6053771092091,0.152447779158942,4.04384126323454,0.150686663707578,28.950091262168,4.243828222268,3.99162069459687,0.823253400053396,0.373939536755057,0.162604894014778,2,0.795533872892107,0.0326652492240726,0.00168794822309524,0.000146535665759678,2.02715326091193,0.01202,3.13,0.00363265306122449,0.0714285714285715,1.11124,2,28,30,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Labridae","Cryptotomus roseus","Cryptotomus_roseus",0.513902913514298,0.110979979617605,37.3432046522916,0.627107621387726,10.6168105167729,0.183161034964076,3.99826971803165,0.181695791175259,29.168904461175,4.23092956228374,4.04493405240521,0.820856004427687,0.376734259957844,0.162257118378599,2,0.795533872892107,0.0326652492240726,0.00106341299904287,0.000146535665759678,2.02715326091193,0.01202,3.13,0.00427040816326531,0.0765306122448979,1.11485,2,22,13,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
